t_seconds,iso_time,node,private_mb
0.000,2025-12-18T03:22:15,0,0.14
0.000,2025-12-18T03:22:15,1,3172.68
1.032,2025-12-18T03:22:16,0,0.14
1.032,2025-12-18T03:22:16,1,4905.39
2.065,2025-12-18T03:22:17,0,0.14
2.065,2025-12-18T03:22:17,1,6654.13
3.109,2025-12-18T03:22:18,0,0.14
3.109,2025-12-18T03:22:18,1,8418.39
4.163,2025-12-18T03:22:19,0,0.14
4.163,2025-12-18T03:22:19,1,10201.41
5.227,2025-12-18T03:22:20,0,0.14
5.227,2025-12-18T03:22:20,1,11999.31
6.301,2025-12-18T03:22:21,0,0.14
6.301,2025-12-18T03:22:21,1,13813.67
7.385,2025-12-18T03:22:22,0,0.14
7.385,2025-12-18T03:22:22,1,15644.35
8.479,2025-12-18T03:22:23,0,0.14
8.479,2025-12-18T03:22:23,1,17471.61
9.571,2025-12-18T03:22:25,0,0.14
9.571,2025-12-18T03:22:25,1,19335.09
10.686,2025-12-18T03:22:26,0,0.14
10.686,2025-12-18T03:22:26,1,21216.03
11.810,2025-12-18T03:22:27,0,0.14
11.810,2025-12-18T03:22:27,1,23113.24
12.945,2025-12-18T03:22:28,0,0.14
12.945,2025-12-18T03:22:28,1,25026.5
14.090,2025-12-18T03:22:29,0,0.14
14.090,2025-12-18T03:22:29,1,26956.56
15.246,2025-12-18T03:22:30,0,0.14
15.246,2025-12-18T03:22:30,1,28901.65
16.411,2025-12-18T03:22:31,0,0.14
16.411,2025-12-18T03:22:31,1,30825.88
17.562,2025-12-18T03:22:33,0,0.14
17.562,2025-12-18T03:22:33,1,32764.7
18.724,2025-12-18T03:22:34,0,0.14
18.724,2025-12-18T03:22:34,1,32769.62
19.889,2025-12-18T03:22:35,0,0.14
19.889,2025-12-18T03:22:35,1,32769.62
21.058,2025-12-18T03:22:36,0,0.14
21.058,2025-12-18T03:22:36,1,32769.62
22.219,2025-12-18T03:22:37,0,0.14
22.219,2025-12-18T03:22:37,1,32769.62
23.408,2025-12-18T03:22:38,0,0.14
23.408,2025-12-18T03:22:38,1,32769.62
24.575,2025-12-18T03:22:40,0,0.14
24.575,2025-12-18T03:22:40,1,32769.62
25.762,2025-12-18T03:22:41,0,0.14
25.762,2025-12-18T03:22:41,1,32769.62
26.931,2025-12-18T03:22:42,0,0.14
26.931,2025-12-18T03:22:42,1,32769.62
28.119,2025-12-18T03:22:43,0,0.14
28.119,2025-12-18T03:22:43,1,32769.62
29.290,2025-12-18T03:22:44,0,0.14
29.290,2025-12-18T03:22:44,1,32769.62
30.441,2025-12-18T03:22:45,0,0.14
30.441,2025-12-18T03:22:45,1,32769.62
31.595,2025-12-18T03:22:47,0,0.14
31.595,2025-12-18T03:22:47,1,32769.62
32.754,2025-12-18T03:22:48,0,0.14
32.754,2025-12-18T03:22:48,1,32769.62
33.939,2025-12-18T03:22:49,0,0.14
33.939,2025-12-18T03:22:49,1,32769.62
35.126,2025-12-18T03:22:50,0,0.14
35.126,2025-12-18T03:22:50,1,32769.62
36.315,2025-12-18T03:22:51,0,0.14
36.315,2025-12-18T03:22:51,1,32769.62
37.488,2025-12-18T03:22:53,0,0.14
37.488,2025-12-18T03:22:53,1,32769.62
38.663,2025-12-18T03:22:54,0,0.14
38.663,2025-12-18T03:22:54,1,32769.62
39.838,2025-12-18T03:22:55,0,0.14
39.838,2025-12-18T03:22:55,1,32769.62
41.010,2025-12-18T03:22:56,0,0.14
41.010,2025-12-18T03:22:56,1,32769.62
42.187,2025-12-18T03:22:57,0,0.14
42.187,2025-12-18T03:22:57,1,32769.62
43.359,2025-12-18T03:22:58,0,0.14
43.359,2025-12-18T03:22:58,1,32769.62
44.532,2025-12-18T03:23:00,0,0.14
44.532,2025-12-18T03:23:00,1,32769.62
45.706,2025-12-18T03:23:01,0,0.14
45.706,2025-12-18T03:23:01,1,32769.62
46.881,2025-12-18T03:23:02,0,0.14
46.881,2025-12-18T03:23:02,1,32769.62
48.067,2025-12-18T03:23:03,0,0.14
48.067,2025-12-18T03:23:03,1,32769.62
49.256,2025-12-18T03:23:04,0,0.14
49.256,2025-12-18T03:23:04,1,32769.62
50.421,2025-12-18T03:23:05,0,0.14
50.421,2025-12-18T03:23:05,1,32769.62
51.575,2025-12-18T03:23:07,0,0.14
51.575,2025-12-18T03:23:07,1,32769.62
52.748,2025-12-18T03:23:08,0,0.14
52.748,2025-12-18T03:23:08,1,32769.62
53.932,2025-12-18T03:23:09,0,0.14
53.932,2025-12-18T03:23:09,1,32769.62
55.118,2025-12-18T03:23:10,0,0.14
55.118,2025-12-18T03:23:10,1,32769.62
56.301,2025-12-18T03:23:11,0,0.14
56.301,2025-12-18T03:23:11,1,32769.62
57.468,2025-12-18T03:23:12,0,0.14
57.468,2025-12-18T03:23:12,1,32769.62
58.629,2025-12-18T03:23:14,0,0.14
58.629,2025-12-18T03:23:14,1,32769.62
59.800,2025-12-18T03:23:15,0,0.14
59.800,2025-12-18T03:23:15,1,32769.62
60.967,2025-12-18T03:23:16,0,0.14
60.967,2025-12-18T03:23:16,1,32769.62
62.159,2025-12-18T03:23:17,0,0.14
62.159,2025-12-18T03:23:17,1,32769.62
63.350,2025-12-18T03:23:18,0,0.14
63.350,2025-12-18T03:23:18,1,32769.62
64.543,2025-12-18T03:23:20,0,0.14
64.543,2025-12-18T03:23:20,1,32769.62
65.733,2025-12-18T03:23:21,0,0.14
65.733,2025-12-18T03:23:21,1,32769.62
66.919,2025-12-18T03:23:22,0,0.14
66.919,2025-12-18T03:23:22,1,32769.62
68.108,2025-12-18T03:23:23,0,0.14
68.108,2025-12-18T03:23:23,1,32769.62
69.299,2025-12-18T03:23:24,0,0.14
69.299,2025-12-18T03:23:24,1,32769.62
70.447,2025-12-18T03:23:25,0,0.14
70.447,2025-12-18T03:23:25,1,32769.62
71.591,2025-12-18T03:23:27,0,0.14
71.591,2025-12-18T03:23:27,1,32769.62
72.753,2025-12-18T03:23:28,0,0.14
72.753,2025-12-18T03:23:28,1,32769.62
73.938,2025-12-18T03:23:29,0,0.14
73.938,2025-12-18T03:23:29,1,32769.62
75.101,2025-12-18T03:23:30,0,0.14
75.101,2025-12-18T03:23:30,1,32769.62
76.272,2025-12-18T03:23:31,0,0.14
76.272,2025-12-18T03:23:31,1,32769.62
77.437,2025-12-18T03:23:32,0,0.14
77.437,2025-12-18T03:23:32,1,32769.62
78.606,2025-12-18T03:23:34,0,0.14
78.606,2025-12-18T03:23:34,1,32769.62
79.777,2025-12-18T03:23:35,0,0.14
79.777,2025-12-18T03:23:35,1,32769.62
80.942,2025-12-18T03:23:36,0,0.14
80.942,2025-12-18T03:23:36,1,32769.62
82.112,2025-12-18T03:23:37,0,0.14
82.112,2025-12-18T03:23:37,1,32769.62
83.275,2025-12-18T03:23:38,0,0.14
83.275,2025-12-18T03:23:38,1,32769.62
84.466,2025-12-18T03:23:39,0,0.14
84.466,2025-12-18T03:23:39,1,32769.62
85.633,2025-12-18T03:23:41,0,0.14
85.633,2025-12-18T03:23:41,1,32769.62
86.806,2025-12-18T03:23:42,0,0.14
86.806,2025-12-18T03:23:42,1,32769.62
87.976,2025-12-18T03:23:43,0,0.14
87.976,2025-12-18T03:23:43,1,32769.62
89.146,2025-12-18T03:23:44,0,0.14
89.146,2025-12-18T03:23:44,1,32769.62
