t_seconds,iso_time,node,private_mb
0.015,2026-04-02T23:03:06,0,1025.64
0.015,2026-04-02T23:03:06,1,0.15
1.023,2026-04-02T23:03:07,0,1025.64
1.023,2026-04-02T23:03:07,1,0.15
2.031,2026-04-02T23:03:08,0,1025.64
2.031,2026-04-02T23:03:08,1,0.15
3.040,2026-04-02T23:03:09,0,1025.64
3.040,2026-04-02T23:03:09,1,0.15
4.049,2026-04-02T23:03:10,0,1025.64
4.049,2026-04-02T23:03:10,1,0.15
5.057,2026-04-02T23:03:11,0,1025.64
5.057,2026-04-02T23:03:11,1,0.15
6.067,2026-04-02T23:03:12,0,1025.64
6.067,2026-04-02T23:03:12,1,0.15
7.076,2026-04-02T23:03:13,0,1025.64
7.076,2026-04-02T23:03:13,1,0.15
8.085,2026-04-02T23:03:14,0,1025.64
8.085,2026-04-02T23:03:14,1,0.15
9.093,2026-04-02T23:03:15,0,1025.64
9.093,2026-04-02T23:03:15,1,0.15
10.101,2026-04-02T23:03:16,0,1025.64
10.101,2026-04-02T23:03:16,1,0.15
11.109,2026-04-02T23:03:17,0,1025.64
11.109,2026-04-02T23:03:17,1,0.15
12.119,2026-04-02T23:03:18,0,1025.64
12.119,2026-04-02T23:03:18,1,0.15
13.128,2026-04-02T23:03:19,0,1025.64
13.128,2026-04-02T23:03:19,1,0.15
14.137,2026-04-02T23:03:20,0,1025.64
14.137,2026-04-02T23:03:20,1,0.15
15.145,2026-04-02T23:03:21,0,1025.64
15.145,2026-04-02T23:03:21,1,0.15
16.153,2026-04-02T23:03:22,0,1025.64
16.153,2026-04-02T23:03:22,1,0.15
17.161,2026-04-02T23:03:23,0,1025.64
17.161,2026-04-02T23:03:23,1,0.15
18.170,2026-04-02T23:03:24,0,1025.64
18.170,2026-04-02T23:03:24,1,0.15
19.179,2026-04-02T23:03:25,0,1025.64
19.179,2026-04-02T23:03:25,1,0.15
20.188,2026-04-02T23:03:26,0,1025.64
20.188,2026-04-02T23:03:26,1,0.15
21.196,2026-04-02T23:03:27,0,1025.64
21.196,2026-04-02T23:03:27,1,0.15
22.205,2026-04-02T23:03:28,0,1025.64
22.205,2026-04-02T23:03:28,1,0.15
23.213,2026-04-02T23:03:29,0,1025.64
23.213,2026-04-02T23:03:29,1,0.15
24.222,2026-04-02T23:03:30,0,1025.64
24.222,2026-04-02T23:03:30,1,0.15
25.231,2026-04-02T23:03:31,0,1025.64
25.231,2026-04-02T23:03:31,1,0.15
26.240,2026-04-02T23:03:32,0,1025.64
26.240,2026-04-02T23:03:32,1,0.15
27.249,2026-04-02T23:03:33,0,1025.64
27.249,2026-04-02T23:03:33,1,0.15
28.257,2026-04-02T23:03:34,0,1025.64
28.257,2026-04-02T23:03:34,1,0.15
29.265,2026-04-02T23:03:35,0,1025.64
29.265,2026-04-02T23:03:35,1,0.15
30.273,2026-04-02T23:03:36,0,1025.64
30.273,2026-04-02T23:03:36,1,0.15
31.283,2026-04-02T23:03:37,0,1025.64
31.283,2026-04-02T23:03:37,1,0.15
32.292,2026-04-02T23:03:38,0,1025.64
32.292,2026-04-02T23:03:38,1,0.15
33.300,2026-04-02T23:03:39,0,1025.64
33.300,2026-04-02T23:03:39,1,0.15
34.309,2026-04-02T23:03:40,0,1025.64
34.309,2026-04-02T23:03:40,1,0.15
35.317,2026-04-02T23:03:41,0,1025.64
35.317,2026-04-02T23:03:41,1,0.15
36.326,2026-04-02T23:03:42,0,1025.64
36.326,2026-04-02T23:03:42,1,0.15
37.334,2026-04-02T23:03:43,0,1025.64
37.334,2026-04-02T23:03:43,1,0.15
38.343,2026-04-02T23:03:44,0,1025.64
38.343,2026-04-02T23:03:44,1,0.15
39.352,2026-04-02T23:03:45,0,1025.64
39.352,2026-04-02T23:03:45,1,0.15
40.361,2026-04-02T23:03:46,0,1025.64
40.361,2026-04-02T23:03:46,1,0.15
41.369,2026-04-02T23:03:47,0,1025.64
41.369,2026-04-02T23:03:47,1,0.15
42.377,2026-04-02T23:03:48,0,1025.64
42.377,2026-04-02T23:03:48,1,0.15
43.386,2026-04-02T23:03:49,0,1025.64
43.386,2026-04-02T23:03:49,1,0.15
44.395,2026-04-02T23:03:50,0,1025.64
44.395,2026-04-02T23:03:50,1,0.15
45.404,2026-04-02T23:03:51,0,1025.64
45.404,2026-04-02T23:03:51,1,0.15
46.413,2026-04-02T23:03:52,0,1025.64
46.413,2026-04-02T23:03:52,1,0.15
47.421,2026-04-02T23:03:54,0,1025.64
47.421,2026-04-02T23:03:54,1,0.15
48.430,2026-04-02T23:03:55,0,1025.64
48.430,2026-04-02T23:03:55,1,0.15
49.439,2026-04-02T23:03:56,0,1025.64
49.439,2026-04-02T23:03:56,1,0.15
50.448,2026-04-02T23:03:57,0,1025.64
50.448,2026-04-02T23:03:57,1,0.15
