t_seconds,iso_time,node,private_mb
0.015,2026-04-02T22:52:57,0,1025.65
0.015,2026-04-02T22:52:57,1,0.15
1.024,2026-04-02T22:52:58,0,1025.65
1.024,2026-04-02T22:52:58,1,0.15
2.033,2026-04-02T22:52:59,0,1025.65
2.033,2026-04-02T22:52:59,1,0.15
3.042,2026-04-02T22:53:00,0,1025.65
3.042,2026-04-02T22:53:00,1,0.15
4.050,2026-04-02T22:53:01,0,1025.65
4.050,2026-04-02T22:53:01,1,0.15
5.058,2026-04-02T22:53:02,0,1025.65
5.058,2026-04-02T22:53:02,1,0.15
6.066,2026-04-02T22:53:03,0,1025.65
6.066,2026-04-02T22:53:03,1,0.15
7.074,2026-04-02T22:53:04,0,1025.65
7.074,2026-04-02T22:53:04,1,0.15
8.081,2026-04-02T22:53:05,0,1025.65
8.081,2026-04-02T22:53:05,1,0.15
9.089,2026-04-02T22:53:06,0,1025.65
9.089,2026-04-02T22:53:06,1,0.15
10.096,2026-04-02T22:53:07,0,1025.65
10.096,2026-04-02T22:53:07,1,0.15
11.105,2026-04-02T22:53:08,0,1025.65
11.105,2026-04-02T22:53:08,1,0.15
12.112,2026-04-02T22:53:09,0,1025.65
12.112,2026-04-02T22:53:09,1,0.15
13.120,2026-04-02T22:53:10,0,1025.65
13.120,2026-04-02T22:53:10,1,0.15
14.128,2026-04-02T22:53:11,0,1025.65
14.128,2026-04-02T22:53:11,1,0.15
15.137,2026-04-02T22:53:12,0,1025.65
15.137,2026-04-02T22:53:12,1,0.15
16.144,2026-04-02T22:53:13,0,1025.65
16.144,2026-04-02T22:53:13,1,0.15
17.152,2026-04-02T22:53:14,0,1025.65
17.152,2026-04-02T22:53:14,1,0.15
18.161,2026-04-02T22:53:15,0,1025.65
18.161,2026-04-02T22:53:15,1,0.15
19.170,2026-04-02T22:53:16,0,1025.65
19.170,2026-04-02T22:53:16,1,0.15
20.178,2026-04-02T22:53:17,0,1025.65
20.178,2026-04-02T22:53:17,1,0.15
21.186,2026-04-02T22:53:18,0,1025.65
21.186,2026-04-02T22:53:18,1,0.15
22.194,2026-04-02T22:53:19,0,1025.65
22.194,2026-04-02T22:53:19,1,0.15
23.201,2026-04-02T22:53:20,0,1025.65
23.201,2026-04-02T22:53:20,1,0.15
24.209,2026-04-02T22:53:21,0,1025.65
24.209,2026-04-02T22:53:21,1,0.15
25.216,2026-04-02T22:53:22,0,1025.65
25.216,2026-04-02T22:53:22,1,0.15
26.225,2026-04-02T22:53:23,0,1025.65
26.225,2026-04-02T22:53:23,1,0.15
27.232,2026-04-02T22:53:24,0,1025.65
27.232,2026-04-02T22:53:24,1,0.15
28.240,2026-04-02T22:53:25,0,1025.65
28.240,2026-04-02T22:53:25,1,0.15
29.248,2026-04-02T22:53:26,0,1025.65
29.248,2026-04-02T22:53:26,1,0.15
30.257,2026-04-02T22:53:27,0,1025.65
30.257,2026-04-02T22:53:27,1,0.15
31.264,2026-04-02T22:53:28,0,1025.65
31.264,2026-04-02T22:53:28,1,0.15
32.273,2026-04-02T22:53:29,0,1025.65
32.273,2026-04-02T22:53:29,1,0.15
33.282,2026-04-02T22:53:30,0,1025.65
33.282,2026-04-02T22:53:30,1,0.15
34.291,2026-04-02T22:53:31,0,1025.65
34.291,2026-04-02T22:53:31,1,0.15
35.300,2026-04-02T22:53:32,0,1025.65
35.300,2026-04-02T22:53:32,1,0.15
36.308,2026-04-02T22:53:33,0,1025.65
36.308,2026-04-02T22:53:33,1,0.15
37.317,2026-04-02T22:53:34,0,1025.65
37.317,2026-04-02T22:53:34,1,0.15
38.326,2026-04-02T22:53:35,0,1025.65
38.326,2026-04-02T22:53:35,1,0.15
39.336,2026-04-02T22:53:36,0,1025.65
39.336,2026-04-02T22:53:36,1,0.15
40.344,2026-04-02T22:53:37,0,1025.65
40.344,2026-04-02T22:53:37,1,0.15
41.353,2026-04-02T22:53:38,0,1025.65
41.353,2026-04-02T22:53:38,1,0.15
42.363,2026-04-02T22:53:39,0,1025.65
42.363,2026-04-02T22:53:39,1,0.15
43.373,2026-04-02T22:53:40,0,1025.65
43.373,2026-04-02T22:53:40,1,0.15
44.382,2026-04-02T22:53:41,0,1025.65
44.382,2026-04-02T22:53:41,1,0.15
45.391,2026-04-02T22:53:42,0,1025.65
45.391,2026-04-02T22:53:42,1,0.15
46.399,2026-04-02T22:53:43,0,1025.65
46.399,2026-04-02T22:53:43,1,0.15
