t_seconds,iso_time,node,private_mb
0.000,2025-12-18T18:09:53,0,0.14
0.000,2025-12-18T18:09:53,1,3303.25
1.026,2025-12-18T18:09:54,0,0.14
1.026,2025-12-18T18:09:54,1,5033.92
2.061,2025-12-18T18:09:55,0,0.14
2.061,2025-12-18T18:09:55,1,6782.29
3.105,2025-12-18T18:09:56,0,0.14
3.105,2025-12-18T18:09:56,1,8546.67
4.160,2025-12-18T18:09:57,0,0.14
4.160,2025-12-18T18:09:57,1,10327.42
5.224,2025-12-18T18:09:58,0,0.14
5.224,2025-12-18T18:09:58,1,12125.91
6.299,2025-12-18T18:09:59,0,0.14
6.299,2025-12-18T18:09:59,1,13924.26
7.375,2025-12-18T18:10:00,0,0.14
7.375,2025-12-18T18:10:00,1,15754.15
8.470,2025-12-18T18:10:01,0,0.14
8.470,2025-12-18T18:10:01,1,17596.86
9.573,2025-12-18T18:10:02,0,0.14
9.573,2025-12-18T18:10:02,1,19458.74
10.688,2025-12-18T18:10:04,0,0.14
10.688,2025-12-18T18:10:04,1,21338.55
11.813,2025-12-18T18:10:05,0,0.14
11.813,2025-12-18T18:10:05,1,23219.59
12.940,2025-12-18T18:10:06,0,0.14
12.940,2025-12-18T18:10:06,1,25123.7
14.079,2025-12-18T18:10:07,0,0.14
14.079,2025-12-18T18:10:07,1,27053.69
15.236,2025-12-18T18:10:08,0,0.14
15.236,2025-12-18T18:10:08,1,29003.66
16.404,2025-12-18T18:10:09,0,0.14
16.404,2025-12-18T18:10:09,1,30942.61
17.566,2025-12-18T18:10:10,0,0.14
17.566,2025-12-18T18:10:10,1,32919.27
18.750,2025-12-18T18:10:12,0,0.14
18.750,2025-12-18T18:10:12,1,34874.24
19.922,2025-12-18T18:10:13,0,0.14
19.922,2025-12-18T18:10:13,1,36843.45
21.103,2025-12-18T18:10:14,0,0.14
21.103,2025-12-18T18:10:14,1,38828.28
22.294,2025-12-18T18:10:15,0,0.14
22.294,2025-12-18T18:10:15,1,40827.18
23.494,2025-12-18T18:10:16,0,0.14
23.494,2025-12-18T18:10:16,1,42877.22
24.725,2025-12-18T18:10:18,0,0.14
24.725,2025-12-18T18:10:18,1,44898.1
25.938,2025-12-18T18:10:19,0,0.14
25.938,2025-12-18T18:10:19,1,46976.89
27.186,2025-12-18T18:10:20,0,0.14
27.186,2025-12-18T18:10:20,1,49040.35
28.423,2025-12-18T18:10:21,0,0.14
28.423,2025-12-18T18:10:21,1,51065.42
29.637,2025-12-18T18:10:23,0,370.7
29.637,2025-12-18T18:10:23,1,50831.12
30.882,2025-12-18T18:10:24,0,1451.17
30.882,2025-12-18T18:10:24,1,49750.65
32.125,2025-12-18T18:10:25,0,2527.2
32.125,2025-12-18T18:10:25,1,48674.62
33.369,2025-12-18T18:10:26,0,3605.11
33.369,2025-12-18T18:10:26,1,47596.71
34.597,2025-12-18T18:10:28,0,4666.06
34.597,2025-12-18T18:10:28,1,46535.76
35.826,2025-12-18T18:10:29,0,5722.5
35.826,2025-12-18T18:10:29,1,45479.33
37.056,2025-12-18T18:10:30,0,6780.76
37.056,2025-12-18T18:10:30,1,44421.07
38.299,2025-12-18T18:10:31,0,7853.74
38.299,2025-12-18T18:10:31,1,43348.08
39.534,2025-12-18T18:10:32,0,8913.41
39.534,2025-12-18T18:10:32,1,42288.41
40.741,2025-12-18T18:10:34,0,9948.77
40.741,2025-12-18T18:10:34,1,41253.05
41.947,2025-12-18T18:10:35,0,10991.48
41.947,2025-12-18T18:10:35,1,40210.35
43.187,2025-12-18T18:10:36,0,12068.14
43.187,2025-12-18T18:10:36,1,39133.68
44.448,2025-12-18T18:10:37,0,13148.01
44.448,2025-12-18T18:10:37,1,38053.82
45.658,2025-12-18T18:10:39,0,14189.43
45.658,2025-12-18T18:10:39,1,37012.4
46.884,2025-12-18T18:10:40,0,15246.55
46.884,2025-12-18T18:10:40,1,35955.27
48.123,2025-12-18T18:10:41,0,16313.94
48.123,2025-12-18T18:10:41,1,34887.89
49.362,2025-12-18T18:10:42,0,17380.3
49.362,2025-12-18T18:10:42,1,33821.52
50.585,2025-12-18T18:10:44,0,18433.92
50.585,2025-12-18T18:10:44,1,32767.9
51.815,2025-12-18T18:10:45,0,19493.01
51.815,2025-12-18T18:10:45,1,31708.82
53.050,2025-12-18T18:10:46,0,20570.91
53.050,2025-12-18T18:10:46,1,30630.91
54.310,2025-12-18T18:10:47,0,21654.84
54.310,2025-12-18T18:10:47,1,29546.98
55.569,2025-12-18T18:10:49,0,22739.05
55.569,2025-12-18T18:10:49,1,28462.77
56.827,2025-12-18T18:10:50,0,23812.21
56.827,2025-12-18T18:10:50,1,27389.61
58.062,2025-12-18T18:10:51,0,24872.84
58.062,2025-12-18T18:10:51,1,26328.98
59.270,2025-12-18T18:10:52,0,25916.43
59.270,2025-12-18T18:10:52,1,25285.4
60.504,2025-12-18T18:10:53,0,26981.58
60.504,2025-12-18T18:10:53,1,24220.24
61.736,2025-12-18T18:10:55,0,28060.58
61.736,2025-12-18T18:10:55,1,23141.25
62.993,2025-12-18T18:10:56,0,29115.21
62.993,2025-12-18T18:10:56,1,22086.61
64.196,2025-12-18T18:10:57,0,30163.3
64.196,2025-12-18T18:10:57,1,21038.52
65.427,2025-12-18T18:10:58,0,31221.11
65.427,2025-12-18T18:10:58,1,19980.71
66.636,2025-12-18T18:11:00,0,32268.78
66.636,2025-12-18T18:11:00,1,18933.04
67.858,2025-12-18T18:11:01,0,33320.03
67.858,2025-12-18T18:11:01,1,17881.8
69.087,2025-12-18T18:11:02,0,34371.57
69.087,2025-12-18T18:11:02,1,16830.26
70.292,2025-12-18T18:11:03,0,35420.78
70.292,2025-12-18T18:11:03,1,15781.04
71.521,2025-12-18T18:11:04,0,36482.59
71.521,2025-12-18T18:11:04,1,14719.23
72.749,2025-12-18T18:11:06,0,37546.55
72.749,2025-12-18T18:11:06,1,13655.28
73.971,2025-12-18T18:11:07,0,38400.14
73.971,2025-12-18T18:11:07,1,12801.68
75.230,2025-12-18T18:11:08,0,38400.14
75.230,2025-12-18T18:11:08,1,12801.68
76.457,2025-12-18T18:11:09,0,38400.14
76.457,2025-12-18T18:11:09,1,12801.68
77.713,2025-12-18T18:11:11,0,38400.14
77.713,2025-12-18T18:11:11,1,12801.68
78.963,2025-12-18T18:11:12,0,38400.14
